name,latitude,longitude,category
Bay Trail,-37.95005681937603,144.72694363461693,trail
Green Acres Golf Club,-37.784324673798096,145.04964939502247,active_sport
"Drains, Hawthorn",-37.824278507789714,145.02430277515606,nature
Reservoir Reserve,-37.811405725490594,145.05825715650397,nature
Gardiners Creek FrontagE,-37.85857502558687,145.06068055924823,nature
Allambee Ave Res,-37.8346456443433,145.07698392299562,park
Myrtle Rd Res,-37.82691676133242,145.07175618939186,park
Ramu Grove Land,-37.870836503320994,145.08455782345595,trail
Ashburton Park,-37.86333680935847,145.08680631395754,active_sport
Hartwell Sports Gd,-37.85422796399468,145.08706963709926,active_sport
Liston St Res,-37.85845875620977,145.08723869035552,park
Through Road Reserve,-37.842563343733346,145.0908323671518,park
Highfield Park,-37.83620032574717,145.0856774857664,active_sport
Mary MacKillop Res,-37.82842804230295,145.08922838294427,park
Mason St Res,-37.81757693001608,145.02177686414467,park
Fashoda St Res,-37.81772597131002,145.02430349285453,park
Fenton Reserve,-37.807877994813204,145.03078911887002,park
Sir William St Res,-37.80395389316269,145.02605984938694,park
Peel St Res,-37.79582017830115,145.03507692101383,park
Vaughan Crescent Reserve (west),-37.7934453667076,145.02366021280434,park
Vaughan Crescent Reserve (east),-37.793132194919096,145.02546002079842,park
Elphin Grove Res,-37.819316466564096,145.0421319749263,park
Edgevale Res,-37.81500289130266,145.0418001548583,park
Kellett Res,-37.81393302752079,145.04524834754255,park
Fitzwilliam St Res,-37.81315075966105,145.0428765798209,park
Norway Res,-37.81814346942365,145.06149834546048,park
Belmont Park,-37.81568646010247,145.06969049909657,park
Deepdene Tennis Club,-37.8126854461958,145.06800862054126,active_sport
King St Chain,-37.80584590705668,145.06662003464564,park
Gordon St Res,-37.80846205795963,145.07171404971342,park
Hilda St Res,-37.805714260095755,145.07653559295494,park
Nott St Res,-37.80628841582698,145.07746673346543,park
Watson Park,-37.86949821675947,145.07432193105757,active_sport
Huon Grove Land,-37.87042727539522,145.08217999320533,trail
Scotsburn St Res,-37.83250498302001,145.02820935488955,park
Anderson Park,-37.83994865422182,145.04882255929297,active_sport
Cato Park,-37.843534778307045,145.04596380320487,park
Ferndale Road Reserve,-37.85466728345427,145.07079532255338,trail
Hill'n Dale Park,-37.856298747573454,145.07379439541262,trail
Summerhill Linear Park,-37.858383408061684,145.07701013556834,trail
Willison Park,-37.83972283938672,145.07160829053333,active_sport
Bowen Gdns,-37.845766131002115,145.0628542095467,park
Trent Street Reserve,-37.849393754618994,145.0798097660629,park
Fairmont Ave Res,-37.843367705145425,145.07213875189478,trail
Victoria Rd Reserve,-37.82130216898605,145.047589768671,active_sport
Appian Way Reserve,-37.826285217065546,145.03812953789173,trail
Radnor St Res,-37.840148616159446,145.0623218524701,park
Avenue Road Reserve,-37.834017542944416,145.06106862547438,park
Nelson Rd Res,-37.8350263253044,145.06341122115728,park
Morang Road Reserve,-37.82510295984707,145.02346689344353,park
Yarra Street Extension,-37.824857863751525,145.02005651463483,trail
Trafalgar Rd Res,-37.83369936290475,145.063676023991,park
Park - Boroondara,-37.83198662344802,145.02829185275095,park
Park - Boroondara (2),-37.83200481999175,145.0287385575803,park
Swinburne Recreation Reserve,-37.8295175337381,145.05057845832587,park
Camberwell Gardens,-37.83421493942921,145.05812526057485,park
Hyde Park,-37.792082472205024,145.04072144204514,trail
Warner Res,-37.867848647596816,145.08450528103688,active_sport
Harrison Res (Nth),-37.79332646690992,145.060648716092,park
Fordham Gardens,-37.84534826475357,145.0735349307195,park
Nungerner St Land,-37.80420234503112,145.06963757302935,trail
Kyora Pde Res,-37.78747942846088,145.06930999066265,park
Wurundjeri Gardens,-37.82619270733613,145.02317758539678,park
