postcode,latitude,longitude,suburbs
3000,-37.81443733,144.9825846,Melbourne
3001,-37.81443733,144.9825846,Melbourne
3002,-37.81443733,144.9825846,East Melbourne
3003,-37.810871,144.949592,West Melbourne
3004,-37.844246,144.970161,"Melbourne, St Kilda Road Central, St Kilda Road Melbourne"
3005,-37.824608,144.950858,World Trade Centre
3006,-37.82528675,144.9520744,"South Wharf, Southbank"
3008,-37.814719,144.948039,Docklands
3010,-37.796152,144.961351,University Of Melbourne
3011,-37.807101,144.907953,"Footscray, Seddon, Seddon West"
3012,-37.807135,144.861162,"Brooklyn, Kingsville, Kingsville West, Maidstone, Tottenham, West Footscray"
3013,-37.814183,144.888686,"Yarraville, Yarraville West"
3015,-37.838242,144.880556,"Newport, South Kingsville, Spotswood"
3016,-37.863743,144.888461,"Williamstown, Williamstown North"
3018,-37.86172,144.812736,"Altona, Seaholme"
3019,-37.784683,144.854014,"Braybrook, Braybrook North, Robinson"
3020,-37.777204,144.829945,"Albion, Glengala, Sunshine, Sunshine North, Sunshine West"
3021,-37.743361,144.796693,"Albanvale, Kealba, Kings Park, St Albans"
3022,-37.795937,144.793961,"Ardeer, Deer Park East"
3023,-37.78272,144.770641,"Burnside, Burnside Heights, Cairnlea, Caroline Springs, Deer Park, Deer Park North, Ravenhall"
3024,-37.899873,144.556552,"Fieldstone, Mambourin, Manor Lakes, Mount Cottrell, Wyndham Vale"
3025,-37.835562,144.839704,"Altona East, Altona Gate, Altona North"
3026,-37.91624,144.64209,"Derrimut, Laverton North"
3027,-37.932419,144.754147,"Laverton Raaf, Williams Landing, Williams Raaf"
3028,-37.875066,144.777165,"Altona Meadows, Laverton, Seabrook"
3029,-37.837165,144.705831,"Hoppers Crossing, Tarneit, Truganina"
3030,-37.91624,144.64209,"Chartwell, Cocoroc, Point Cook, Quandong, Werribee, Werribee South"
3031,-37.79119,144.923403,"Flemington, Kensington"
3032,-37.774486,144.897221,"Ascot Vale, Highpoint City, Maribyrnong, Travancore"
3033,-37.74107,144.857638,Keilor East
3034,-37.761235,144.86194,Avondale Heights
3036,-37.705324,144.82246,"Keilor, Keilor North"
3037,-37.715579,144.780474,"Calder Park, Delahey, Hillside, Plumpton, Sydenham, Taylors Hill"
3038,-37.700454,144.766873,"Keilor Downs, Keilor Lodge, Taylors Lakes, Watergardens"
3039,-37.766184,144.922995,Moonee Ponds
3040,-37.751845,144.902556,"Aberfeldie, Essendon, Essendon West"
3041,-37.731464,144.904815,"Cross Keys, Essendon Fields, Essendon North, Strathmore, Strathmore Heights"
3042,-37.727529,144.866305,"Airport West, Keilor Park, Niddrie, Niddrie North"
3043,-37.691916,144.888368,"Gladstone Park, Gowanbrae, Tullamarine"
3044,-37.731138,144.936356,"Pascoe Vale, Pascoe Vale South"
3045,-37.674739,144.836195,Melbourne Airport
3046,-37.706578,144.927968,"Glenroy, Hadfield, Oak Park"
3047,-37.681105,144.930247,"Broadmeadows, Dallas, Jacana"
3048,-37.653917,144.923609,"Coolaroo, Meadow Heights"
3049,-37.673182,144.888492,"Attwood, Westmeadows"
3050,-37.7989153,144.95617,Royal Melbourne Hospital
3051,-37.8006,144.943559,"Hotham Hill, North Melbourne"
3052,-37.788996,144.948903,"Melbourne University, Parkville"
3053,-37.803569,144.966112,"Carlton, Carlton South"
3054,-37.786971,144.96724,"Carlton North, Princes Hill"
3055,-37.763584,144.942222,"Brunswick South, Brunswick West, Moonee Vale, Moreland West"
3056,-37.766292,144.960108,"Brunswick, Brunswick Lower, Brunswick North"
3057,-37.770012,144.97728,"Brunswick East, Lygon Street North, Sumner"
3058,-37.739901,144.964524,"Batman, Coburg, Coburg North, Merlynston, Moreland"
3059,-37.639887,144.879626,Greenvale
3060,-37.707326,144.967874,"Fawkner, Fawkner East, Fawkner North"
3061,-37.666265,144.956763,Campbellfield
3062,-37.632986,144.932557,Somerton
3063,-37.595015,144.856082,"Oaklands Junction, Yuroke"
3064,-37.546522,144.942199,"Craigieburn, Donnybrook, Kalkallo, Mickleham, Roxburgh Park"
3065,-37.802608,144.977795,Fitzroy
3066,-37.804846,144.986906,"Collingwood, Collingwood North"
3067,-37.803515,144.998203,Abbotsford
3068,-37.790974,144.98622,"Clifton Hill, Fitzroy North"
3070,-37.774064,144.999745,"Northcote, Northcote South"
3071,-37.759426,145.007006,Thornbury
3072,-37.74247,145.005702,"Gilberton, Northland Centre, Preston, Preston Lower, Preston South, Preston West, Regent West, Sylvester"
3073,-37.712474,145.005955,"Keon Park, Reservoir, Reservoir East, Reservoir North, Reservoir South"
3074,-37.684684,145.006644,Thomastown
3075,-37.66607,145.002679,"Lalor, Lalor Plaza"
3076,-37.643598,145.022137,"Epping, Epping Dc"
3078,-37.778298,145.025853,"Alphington, Fairfield"
3079,-37.772675,145.048573,"Ivanhoe, Ivanhoe East, Ivanhoe North"
3081,-37.743008,145.046401,"Bellfield, Heidelberg Heights, Heidelberg Rgh, Heidelberg West"
3082,-37.664858,145.065658,Mill Park
3083,-37.701346,145.056223,"Bundoora, Kingsbury, La Trobe University"
3084,-37.744406,145.082685,"Banyule, Eaglemont, Heidelberg, Rosanna, Viewbank"
3085,-37.724398,145.06988,"Macleod, Macleod West, Yallambie"
3086,-37.721328,145.047012,La Trobe University
3087,-37.711787,145.082426,"Watsonia, Watsonia North"
3088,-37.700175,145.108339,"Briar Hill, Greensborough, Saint Helena, St Helena"
3089,-37.667713,145.150369,Diamond Creek
3090,-37.668408,145.107802,Plenty
3091,-37.637478,145.136688,Yarrambat
3093,-37.73919,145.115208,Lower Plenty
3094,-37.719759,145.124727,Montmorency
3095,-37.713299,145.158579,"Eltham, Eltham North, Research"
3096,-37.670851,145.185826,Wattle Glen
3097,-37.695254,145.224204,"Bend Of Islands, Kangaroo Ground, Watsons Creek"
3099,-37.592101,145.192854,"Arthurs Creek, Cottles Bridge, Hurstbridge, Nutfield, Strathewen"
3101,-37.807397,145.036575,"Cotham, Kew"
3102,-37.793805,145.05219,Kew East
3103,-37.811738,145.074116,"Balwyn, Balwyn East, Deepdene, Deepdene Dc, Stradbroke Park"
3104,-37.793695,145.081714,"Balwyn North, Greythorn"
3105,-37.772477,145.084806,"Bulleen, Bulleen South"
3106,-37.758335,145.142675,Templestowe
3107,-37.765225,145.110677,Templestowe Lower
3108,-37.786429,145.125797,Doncaster
3109,-37.784786,145.161649,"Doncaster East, Doncaster Heights, The Pines, Tunstall Square Po"
3111,-37.794054,145.186334,Donvale
3113,-37.752123,145.204689,"North Warrandyte, Warrandyte"
3114,-37.778595,145.212599,Park Orchards
3115,-37.736734,145.267586,Wonga Park
3116,-37.737629,145.313086,Chirnside Park
3121,-37.823303,145.001788,"Burnley, Burnley North, Cremorne, Richmond, Richmond East, Richmond North, Richmond South, Victoria Gardens"
3122,-37.822725,145.030602,"Auburn South, Glenferrie South, Hawthorn, Hawthorn North, Hawthorn West"
3123,-37.829752,145.049415,"Auburn, Hawthorn East"
3124,-37.840867,145.068191,"Camberwell, Camberwell North, Camberwell South, Camberwell West, Hartwell, Middle Camberwell"
3125,-37.851305,145.101,"Bennettswood, Burwood, Surrey Hills South"
3126,-37.827203,145.075748,"Camberwell East, Canterbury"
3127,-37.825173,145.097236,"Mont Albert, Surrey Hills, Surrey Hills North"
3128,-37.828866,145.122393,"Box Hill, Box Hill Central, Box Hill South, Houston, Wattle Park"
3129,-37.806965,145.125084,"Box Hill North, Kerrimuir, Mont Albert North"
3130,-37.81805,145.149653,"Blackburn, Blackburn North, Blackburn South, Laburnum"
3131,-37.817798,145.174489,"Brentford Square, Forest Hill, Nunawading"
3132,-37.819222,145.196686,"Mitcham, Mitcham North, Rangeview"
3133,-37.848786,145.192303,"Vermont, Vermont South"
3134,-37.796091,145.232557,"Heathwood, Ringwood, Ringwood North, Warrandyte South, Warranwood"
3135,-37.819594,145.248209,"Bedford Road, Heathmont, Ringwood East"
3136,-37.779876,145.282396,"Croydon, Croydon Hills, Croydon North, Croydon South"
3137,-37.819364,145.313346,"Kilsyth, Kilsyth South"
3138,-37.78391,145.322794,Mooroolbark
3139,-37.814506,145.532666,"Beenak, Don Valley, Hoddles Creek, Launching Place, Seville, Seville East, Wandin East, Wandin North, Woori Yallock, Yellingbo"
3140,-37.759154,145.363185,Lilydale
3141,-37.840679,144.991264,"Chapel Street North, Domain Road Po, South Yarra"
3142,-37.84411,145.017732,"Hawksburn, Toorak"
3143,-37.858918,145.019393,"Armadale, Armadale North"
3144,-37.857443,145.034127,"Kooyong, Malvern, Malvern North"
3145,-37.873557,145.049328,"Caulfield East, Central Park, Darling, Darling South, Malvern East, Wattletree Road Po"
3146,-37.857116,145.057833,"Glen Iris, Tooronga"
3147,-37.867864,145.092946,"Ashburton, Ashwood"
3148,-37.882562,145.090149,"Chadstone, Chadstone Centre, Holmesglen, Jordanville"
3149,-37.880748,145.128118,"Mount Waverley, Pinewood, Syndal"
3150,-37.876968,145.170841,"Brandon Park, Glen Waverley, Wheelers Hill"
3151,-37.85523,145.151119,"Burwood East, Burwood Heights"
3152,-37.864951,145.221695,"Knox City Centre, Studfield, Wantirna, Wantirna South"
3153,-37.845116,145.270141,"Bayswater, Bayswater North"
3154,-37.856009,145.31784,The Basin
3155,-37.861799,145.284418,Boronia
3156,-37.917932,145.292895,"Ferntree Gully, Lysterfield, Lysterfield South, Mountain Gate, Upper Ferntree Gully"
3158,-37.910077,145.324468,Upwey
3159,-37.921894,145.3892,"Menzies Creek, Selby"
3160,-37.935097,145.350821,"Belgrave, Belgrave Heights, Belgrave South, Tecoma"
3161,-37.873733,145.019929,"Caulfield Junction, Caulfield North"
3162,-37.892139,145.023394,"Caulfield, Caulfield South, Hopetoun Gardens"
3163,-37.896497,145.057237,"Booran Road Po, Carnegie, Glen Huntly, Murrumbeena"
3164,-38.02243,145.23738,Dandenong South
3165,-37.922369,145.059426,"Bentleigh East, Coatesville"
3166,-37.902805,145.089719,"Hughesdale, Huntingdale, Oakleigh, Oakleigh East"
3167,-37.923345,145.087614,Oakleigh South
3168,-37.91342,145.12665,"Clayton, Notting Hill"
3169,-37.945149,145.115271,"Clarinda, Clayton South"
3170,-37.920945,145.167859,"Mulgrave, Waverley Gardens"
3171,-37.944608,145.156783,"Sandown Village, Springvale"
3172,-37.975981,145.13465,"Dingley Village, Springvale South"
3173,-38.006771,145.164863,Keysborough
3174,-37.966218,145.17877,"Noble Park, Noble Park East, Noble Park North"
3175,-38.016114,145.208504,"Bangholme, Dandenong, Dandenong East, Dandenong North, Dandenong South, Dunearn"
3176,-37.8992,145.23,Scoresby Bc
3177,-37.990985,145.237462,"Doveton, Eumemmerring"
3178,-37.924431,145.241589,Rowville
3179,-37.897137,145.222634,Scoresby
3180,-37.893263,145.246731,Knoxfield
3181,-37.854683,144.995504,"Prahran, Prahran East, Windsor"
3182,-37.865322,144.979478,"St Kilda, St Kilda South, St Kilda West"
3183,-37.869072,144.999026,"Balaclava, St Kilda East"
3184,-37.881414,144.984034,"Brighton Road, Elwood"
3185,-37.891841,145.002571,"Elsternwick, Gardenvale, Ripponlea"
3186,-37.915066,144.996329,"Brighton, Brighton North, Dendy, Were Street Po"
3187,-37.925371,145.013593,"Brighton East, North Road"
3188,-37.938889,145.007238,"Hampton, Hampton East, Hampton North"
3189,-37.942021,145.047802,"Moorabbin, Moorabbin East, Wishart"
3190,-37.951394,145.038147,Highett
3191,-37.956585,145.013472,Sandringham
3192,-37.965655,145.0623,"Cheltenham, Cheltenham East, Cheltenham North, Southland Centre"
3193,-37.978698,145.031561,"Beaumaris, Black Rock, Black Rock North, Cromer"
3194,-37.985059,145.067356,"Mentone, Mentone East, Moorabbin Airport"
3195,-38.007024,145.104105,"Aspendale, Aspendale Gardens, Braeside, Mordialloc, Mordialloc North, Parkdale, Waterways"
3196,-38.046479,145.122762,"Bonbeach, Chelsea, Chelsea Heights, Edithvale"
3197,-38.072748,145.134111,"Carrum, Patterson Lakes"
